,col1
624," Further, Indian nationalism was not the product of a struggle of the Indian people against colonial exploitation, but what arose from conflict among the Indians for getting the benefits given to them by the British rulers"
625," The leaders of the national movement, according to this school, were inspired by the quest for power and material benefits"
626, This approach has been criticised by many scholars on the ground that it takes the mind or ideals out of human behaviour and reduces nationalism to'animal politics'
627,"  Liberal and NeoLiberal Interpretations According to this interpretation, the economic exploitation of the colonies was not beneficial to the British people as a whole"
628, The availability of markets for British industrial goods in the colonial world and capital investment in overseas markets (like laying of railways in India) might have actually discouraged domestic investment and delayed the development of the'new' industries in Britain
629," The proponents of this school of thought are Patrick O'Brian, Hopkins and Cain"
630,  Feminist Historiography The shift in terms of the writing of women's history began with the women's movement of the 1970s which provided the context and impetus for the emergence of women's studies in India
631," Very soon, women's history broadened and assumed the more complex shape of gender history"
632," In the Major Approaches to the History of Modern India  21  early years, the endeavour was to write a history of women to supplement the writings of mainstream history"
633," Also, an attempt was made to research and compile an archive of women's writing"
